Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	Sex	age	sex	source_name	strain	tissue	Consent	DATASTORE_provider	LibrarySource
Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	Sex	age	sex	source_name	strain	tissue	Consent	DATASTORE_provider	LibrarySource
AMPLICON		429	PRJDA68299	SAMD00003636		Takara_Bio_Inc	sra	DRX000754	0	454 GS FLX Titanium	SINGLE	RT-PCR	A. carolinensis OR cDNA sequences	2014-05-31	1	3	Anolis carolinensis	LS454	2012-05-10	DRR001157	DRS000718	DRP000418	SAMD00003636							public	ncbi	TRANSCRIPTOMIC
AMPLICON		428	PRJDA68299	SAMD00003636		Takara_Bio_Inc	sra	DRX000755	0	454 GS FLX Titanium	SINGLE	RT-PCR	A. carolinensis OR cDNA sequences	2014-05-31	1	3	Anolis carolinensis	LS454	2012-05-10	DRR001158	DRS000718	DRP000418	SAMD00003636							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004034		NIG	sra	DRX001719	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from kidney of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	19301	12048	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002302	DRS001630	DRP000627	SAMD00004034							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004036		NIG	sra	DRX001720	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from pelvic fin of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	19378	11642	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002303	DRS001631	DRP000627	SAMD00004036							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004033		NIG	sra	DRX001721	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from pectoral fin of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	16107	10114	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002304	DRS001632	DRP000627	SAMD00004033							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004032		NIG	sra	DRX001722	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from pharynx of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	25944	16419	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002305	DRS001633	DRP000627	SAMD00004032							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004037		NIG	sra	DRX001723	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from gill of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	25028	16030	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002306	DRS001634	DRP000627	SAMD00004037							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004035		NIG	sra	DRX001724	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from tail muscle of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	15901	9638	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002307	DRS001635	DRP000627	SAMD00004035							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004034		NIG	sra	DRX001719	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from kidney of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	27155	17648	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002308	DRS001630	DRP000627	SAMD00004034							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004036		NIG	sra	DRX001720	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from pelvic fin of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	27231	17311	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002309	DRS001631	DRP000627	SAMD00004036							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004033		NIG	sra	DRX001721	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from pectoral fin of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	24457	16709	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002310	DRS001632	DRP000627	SAMD00004033							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004032		NIG	sra	DRX001722	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from pharynx of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	31894	21256	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002311	DRS001633	DRP000627	SAMD00004032							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004037		NIG	sra	DRX001723	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from gill of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	31151	20218	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002312	DRS001634	DRP000627	SAMD00004037							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004035		NIG	sra	DRX001724	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from tail muscle of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-07	51399	31492	Latimeria chalumnae	ILLUMINA	2012-08-07	DRR002313	DRS001635	DRP000627	SAMD00004035							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		202	PRJDB1984	SAMD00004035		NIG	sra	DRX001724	0	Illumina HiSeq 2000	PAIRED	RANDOM	RNA from tail muscle of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-09	46117	30516	Latimeria chalumnae	ILLUMINA	2012-08-09	DRR002314	DRS001635	DRP000627	SAMD00004035							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		216	PRJDB1984	SAMD00004034		UT-MGS	sra	DRX001725	0	Illumina Genome Analyzer IIx	PAIRED	RANDOM	RNA from kidney of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-08	6855	3994	Latimeria chalumnae	ILLUMINA	2012-08-08	DRR002315	DRS001630	DRP000627	SAMD00004034							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		216	PRJDB1984	SAMD00004036		UT-MGS	sra	DRX001726	0	Illumina Genome Analyzer IIx	PAIRED	RANDOM	RNA from pelvic fin of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-09	8669	5060	Latimeria chalumnae	ILLUMINA	2012-08-09	DRR002316	DRS001631	DRP000627	SAMD00004036							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		216	PRJDB1984	SAMD00004033		UT-MGS	sra	DRX001727	0	Illumina Genome Analyzer IIx	PAIRED	RANDOM	RNA from pectoral fin of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-08	9043	5373	Latimeria chalumnae	ILLUMINA	2012-08-08	DRR002317	DRS001632	DRP000627	SAMD00004033							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		216	PRJDB1984	SAMD00004032		UT-MGS	sra	DRX001728	0	Illumina Genome Analyzer IIx	PAIRED	RANDOM	RNA from pharynx of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-08	6166	3605	Latimeria chalumnae	ILLUMINA	2012-08-08	DRR002318	DRS001633	DRP000627	SAMD00004032							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		216	PRJDB1984	SAMD00004037		UT-MGS	sra	DRX001729	0	Illumina Genome Analyzer IIx	PAIRED	RANDOM	RNA from gill of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-08	8191	4846	Latimeria chalumnae	ILLUMINA	2012-08-08	DRR002319	DRS001634	DRP000627	SAMD00004037							public	ncbi	TRANSCRIPTOMIC
RNA-Seq		216	PRJDB1984	SAMD00004035		UT-MGS	sra	DRX001730	0	Illumina Genome Analyzer IIx	PAIRED	RANDOM	RNA from tail muscle of Tanzanian coelacanth Latimeria chalumnae, paired-end, 200bp	2012-08-08	6525	3901	Latimeria chalumnae	ILLUMINA	2012-08-08	DRR002320	DRS001635	DRP000627	SAMD00004035							public	ncbi	TRANSCRIPTOMIC
WGS		200	PRJDB1934	SAMD00003663		NIG	sra	DRX012229	0	Illumina HiSeq 2000	PAIRED	RANDOM		2014-02-03	1552	978	Macropus eugenii	ILLUMINA	2014-02-09	DRR013408	DRS012065	DRP001145	SAMD00003663							public	ncbi	TRANSCRIPTOMIC
WGS		200	PRJDB1934	SAMD00003663		NIG	sra	DRX012229	0	Illumina HiSeq 2000	PAIRED	RANDOM		2014-02-03	1563	988	Macropus eugenii	ILLUMINA	2014-02-09	DRR013409	DRS012065	DRP001145	SAMD00003663							public	ncbi	TRANSCRIPTOMIC
WGS		200	PRJDB1934	SAMD00003663		NIG	sra	DRX012229	0	Illumina HiSeq 2000	PAIRED	RANDOM		2014-02-03	1534	969	Macropus eugenii	ILLUMINA	2014-02-09	DRR013410	DRS012065	DRP001145	SAMD00003663							public	ncbi	TRANSCRIPTOMIC
WGS		200	PRJDB1934	SAMD00003663		NIG	sra	DRX012229	0	Illumina HiSeq 2000	PAIRED	RANDOM		2014-02-03	1545	981	Macropus eugenii	ILLUMINA	2014-02-09	DRR013411	DRS012065	DRP001145	SAMD00003663							public	ncbi	TRANSCRIPTOMIC
WGS		200	PRJDB1934	SAMD00003663		NIG	sra	DRX012229	0	Illumina HiSeq 2000	PAIRED	RANDOM		2014-02-03	1550	980	Macropus eugenii	ILLUMINA	2014-02-09	DRR013412	DRS012065	DRP001145	SAMD00003663							public	ncbi	TRANSCRIPTOMIC
